[07:10:20][RunControl][WARNING] 控制循环超时: 53.3ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 145.7ms > 20ms
[07:10:20][RunControl][WARNING] 控制循环超时: 86.7ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 102.1ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 52.0ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 104.3ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 55.6ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 128.0ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 42.7ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 74.5ms > 20ms
[07:10:21][RunControl][INFO] [Step  600] pos=(78.6,-666.7,264.2)mm  |u|=707.1mm/s²  F=0.7N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:10:21][RunControl][WARNING] 控制循环超时: 73.0ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 106.9ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 32.2ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 38.5ms > 20ms
[07:10:21][RunControl][WARNING] 控制循环超时: 83.3ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 122.4ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 85.3ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 99.5ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 98.3ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 47.1ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 77.7ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 86.9ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 46.4ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 98.6ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 97.1ms > 20ms
[07:10:22][RunControl][WARNING] 控制循环超时: 81.3ms > 20ms
[07:10:22][RunControl][INFO] 用户中止控制
[07:10:22][RunControl][INFO] === 控制系统已停止 ===
