model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,PURE_BO_EI,1,0.0,0.0087148917180107,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,PURE_BO_EI,2,0.0,0.0087148917180107,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,PURE_BO_EI,3,0.0,0.0087148917180107,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,0,0.0,0.0087148917180107,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,1,0.0,0.0087148917180107,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,2,0.0,0.0087148917180107,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,3,0.0,0.0087148917180107,1.0,3.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,REFERENCE,0,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,REFERENCE,1,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,REFERENCE,2,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,REFERENCE,3,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,RANDOM,0,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,RANDOM,1,0.0,0.0001927766456275,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,RANDOM,2,0.0009638832281377849,0.000183137813346125,0.95,1.95
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,RANDOM,3,0.0009638832281377849,0.000183137813346125,0.95,2.95
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,ADAPTIVE_GREEDY,1,0.0,0.0001927766456275,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,ADAPTIVE_GREEDY,2,0.0,0.0001927766456275,1.0,2.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,ADAPTIVE_GREEDY,3,0.0,0.0001927766456275,1.0,3.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,PURE_BO_EI,0,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,PURE_BO_EI,1,0.0,0.0001927766456275,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,PURE_BO_EI,2,0.0,0.0001927766456275,1.0,2.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,PURE_BO_EI,3,0.0,0.0001927766456275,1.0,3.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0.0,0.0001927766456275,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,1,0.0,0.0001927766456275,1.0,1.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,2,0.0,0.0001927766456275,1.0,2.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,3,0.0,0.0001927766456275,1.0,3.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,REFERENCE,0,0.0,0.0188789191155723,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,REFERENCE,1,0.0,0.0188789191155723,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,REFERENCE,2,0.0,0.0188789191155723,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,REFERENCE,3,0.0,0.0188789191155723,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,RANDOM,0,0.0,0.0188789191155723,1.0,0.0
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,RANDOM,1,0.35939733099773385,0.015284945805594979,0.8096303454675631,0.65
LEG_3_NONLINEAR_COUPLED,BETA_TIMING,0.01,RANDOM,2,0.4957166713019756,0.01392175240255257,0.7374231711745189,1.35
