case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,84.289277,False,350,3.67282935332e-07,3.40422980361e-07,1,0,2.09274673008e-05,0.999998600572,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,84.538653,False,275,6.29493624925e-07,5.51978329932e-07,1,0,2.66349583829e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,85.785536,False,374,2.40038166086e-06,2.41506347659e-06,1,0,2.42899018866e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,86.034913,False,151,4.30597372489e-07,3.61162717177e-07,1,0,3.30732099125e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,93.516209,True,350,4.68394040429e-07,4.5295218809e-07,1,0,2.37812128419e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,93.765586,True,275,4.26280337474e-07,3.28607282052e-07,1,0,2.42135985299e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,99.501247,True,5236,3.49909553772e-06,3.56831589271e-06,1,0,2.80959859893e-05,0.999999976844,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,99.750623,True,6228,2.27088183058e-06,2.0985541121e-06,1,0,2.31549895108e-05,0.999999980975,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,100,True,1661,6.4865812754e-07,5.90048123694e-07,1,0,2.52272709376e-05,0.999999821934,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,77.057357,False,6,0.00413165335785,0.00413079714118,1,0,0.0496630994847,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,77.306733,False,24,0.0041151170598,0.00419632339805,1,0,0.0526238604836,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,77.55611,False,110,0.0027128123963,0.00253726788328,1,0,0.0147287860772,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,77.805486,False,393,0.00280302192253,0.00270767045659,1,0,0.0143253669296,0.999928432643,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,78.054863,False,361,0.00317867221137,0.00336073283716,0.93351800554,0,0.0262893732234,0.994202210965,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,78.304239,False,376,0.00226018419395,0.00217930595716,0.984042553191,0,0.0103331899714,0.999855522321,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,78.553616,False,304,0.00300963278831,0.00298103310717,0.878289473684,0,0.0296307653796,0.999736030549,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,78.802993,False,44,0.00267708888619,0.00305219670285,0.863636363636,0,0.0469927575397,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,79.052369,False,406,0.00166001239319,0.00161433392578,0.901477832512,0,0.0108151801456,0.999814413608,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,79.301746,False,319,0.00253046874004,0.00253074795993,0.981191222571,0,0.0226957756664,0.99972533566,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,79.551122,False,57,0.00190639061268,0.00194273026949,0.649122807018,0,0.0497311054092,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,79.800499,False,349,0.00111012832418,0.00109920124323,1,0,0.0137568524304,0.999755247223,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,80.049875,False,339,0.0020256188872,0.00201908754573,0.979351032448,0,0.0231462053532,0.999823193665,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,80.299252,False,42,0.00158115361564,0.00124629472211,0.857142857143,0,0.0428163750637,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,80.548628,False,45,0.00174448528422,0.00150570460988,0.555555555556,0,0.0438250759678,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,80.798005,False,108,0.000815784459161,0.000832283238983,1,0,0.030381820584,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,81.047382,False,347,0.000850267619727,0.000789173630707,0.971181556196,0,0.0201707175827,0.999852375123,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,81.296758,False,245,0.00159153117054,0.00160447558633,0.738775510204,0,0.0221085685166,0.999605871937,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,81.546135,False,387,0.00419963012904,0.0042768901378,1,0,0.0378276138595,0.999371016837,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,81.795511,False,163,0.000731610246313,0.000669425202246,1,0,0.0520615977182,0.999988916045,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,82.044888,False,182,0.000281577655199,0.000254285293989,1,0,0.0270473402935,1,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,82.294264,False,336,0.000721096091486,0.000748656356412,0.854166666667,0,0.0221275692203,0.999968048693,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,82.543641,False,494,0.00363410229502,0.00358136145351,0.902834008097,0,0.0314758312593,0.999705059895,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,82.793017,False,163,0.000766392513893,0.000649859025728,0.981595092025,0,0.0483730294785,0.999988916045,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,83.790524,False,362,0.00459006803874,0.00461572535113,1,0,0.0329560310338,0.999280317207,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,84.0399,False,163,0.000802570470505,0.000663686413766,0.907975460123,0,0.0447302729004,0.999988916045,False
