hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
110.0,DESCENDING_125_TO_100,11.98,123.5901120836048,123.16170275742064,0.0006524719728948896,459.4536399075324,"[0.006891796843439877,0.0015831229360253611,-0.0009564943738926386,0.2611089863637412,-0.01605193234151826,-0.023541738925013385,-1.856882291939027]",True,0
110.0,DESCENDING_125_TO_100,12.0,123.552,123.12884794033079,0.0006516690209189798,458.8705820532932,"[0.006891506592449034,0.001582677075092144,-0.0009671639775895284,0.26111487972764047,-0.016072632663322314,-0.023535432152778653,-1.8561960234843915]",True,0
110.0,DESCENDING_125_TO_100,12.02,123.5133119235952,123.09548933943852,0.0006508545935110608,458.2794704487701,"[0.00689121103895984,0.0015822251357986733,-0.0009779267286757537,0.2611208585835431,-0.01609365138313078,-0.023529009737319993,-1.8554995880347038]",True,0
110.0,DESCENDING_125_TO_100,12.040000000000001,123.4740474174464,123.06162626430101,0.0006500287227847006,457.6803314103297,"[0.006890910138305506,0.0015817671410809152,-0.0009887797130793566,0.26112692280190947,-0.01611498895019503,-0.023522470673102768,-1.8547929868732849]",True,0
110.0,DESCENDING_125_TO_100,12.06,123.4342061304336,123.0272580944107,0.0006491914434127947,457.07319302526196,"[0.006890603845797949,0.0015813031153153654,-0.0009997199473327895,0.2611330722341418,-0.016136645768417057,-0.02351581395307008,-1.8540762229663268]",True,0
110.0,DESCENDING_125_TO_100,12.08,123.3937877966848,122.99238427881355,0.0006483427926018259,456.45808513315274,"[0.006890292116731234,0.0015808330843072602,-0.001010744379538632,0.2611393067125797,-0.016158622196520363,-0.023509038568729112,-1.8533493009501545]",True,0
110.0,DESCENDING_125_TO_100,12.1,123.352792235,122.95700433573126,0.0006474828100656591,455.8350393064737,"[0.006889974906385359,0.0015803570752785248,-0.001021849890365253,0.26114562605049985,-0.016180918548217595,-0.02350214351024951,-1.8526122271183925]",True,0
110.0,DESCENDING_125_TO_100,12.120000000000001,123.3112193482752,122.92111785218663,0.0006466115379988296,455.2040888310957,"[0.0068896521700304286,0.001579875116855473,-0.001033033294071837,0.26115203004211246,-0.016203535092375362,-0.023495127766574326,-1.8518650094090554]",True,0
110.0,DESCENDING_125_TO_100,12.14,123.2690691229264,122.88472448363227,0.0006457290210492676,454.5652686864101,"[0.0068893238629311754,0.00157938723905627,-0.0010442913395625507,0.26115851846256066,-0.016226472053176493,-0.023487990325543436,-1.8511076573915468]",True,0
110.0,DESCENDING_125_TO_100,12.16,123.2263416283136,122.84782395358307,0.0006448353062906611,453.9186155251753,"[0.006888989940351837,0.0015788934732781554,-0.0010556207114694816,0.2611650910679194,-0.01624972961027923,-0.0234807301740299,-1.8503401822535845]",True,0
